ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
261,Western Cape - City of Cape Town,Cape Town,"-34.039985,18.67393",07/01/2013 00:00,07/01/2013 00:00
269,Gauteng - City of Tshwane,Hammanskraal,"-25.399557,28.259501",07/01/2013 00:00,07/03/2013 00:00
262,Gauteng - City of Tshwane,Pretoria,"-25.743229,28.246858",07/02/2013 00:00,07/02/2013 00:00
263,Western Cape - City of Cape Town,Cape Town,"-33.903026,18.638944",07/02/2013 00:00,07/02/2013 00:00
272,KwaZulu Natal - eThekwini,Durban,"-29.802604,30.981924",07/02/2013 00:00,07/05/2013 00:00
294,Limpopo - Thulamela,Thohoyandou,"-22.974917,30.462563",07/03/2013 00:00,07/03/2013 00:00
342,Gauteng - City of Johannesburg,Johannesburg,"-26.204463,28.039799",07/03/2013 00:00,07/03/2013 00:00
268,North West - Tlokwe City Council,Potchefstroom,"-26.71663,27.098297",07/04/2013 00:00,07/04/2013 00:00
341,Western Cape - City of Cape Town,Cape Town,"-33.675483,18.99115",07/04/2013 00:00,07/04/2013 00:00
288,Free State - Fezile Dabi,Kroonstad,"-27.42612,27.198029",07/05/2013 00:00,07/06/2013 00:00
289,Northern Cape - Sol Plaatjie,Kimberley,"-28.729067,24.754546",07/05/2013 00:00,07/06/2013 00:00
290,Limpopo - Musina,Musina,"-22.34365,30.041193",07/05/2013 00:00,07/06/2013 00:00
441,Western Cape - City of Cape Town,Cape Town,"-33.926184,18.417717",07/05/2013 00:00,07/05/2013 00:00
273,North West - Rustenburg,Rustenburg,"-25.659526,27.244196",07/07/2013 00:00,07/08/2013 00:00
276,Gauteng - City of Johannesburg,Johannesburg,"-26.457972,27.858997",07/07/2013 00:00,07/07/2013 00:00
271,KwaZulu Natal - eThekwini,Durban,"-29.814105,30.978264",07/08/2013 00:00,07/09/2013 00:00
274,Gauteng - City of Johannesburg,Johannesburg,"-26.10047,28.011417",07/08/2013 00:00,07/12/2013 00:00
275,Gauteng - City of Johannesburg,Johannesburg,"-26.150833,27.902272",07/08/2013 00:00,07/12/2013 00:00
277,Gauteng - City of Johannesburg,Johannesburg,"-26.478472,27.867247",07/08/2013 00:00,07/08/2013 00:00
312,KwaZulu Natal - eThekwini,Durban,"-30.046596,30.844444",07/08/2013 00:00,07/08/2013 00:00
287,Gauteng - City of Tshwane,Pretoria,"-25.524115,28.101148",07/09/2013 00:00,07/09/2013 00:00
292,Gauteng - City of Johannesburg,Johannesburg,"-26.204037,28.038111",07/09/2013 00:00,07/09/2013 00:00
281,Western Cape - City of Cape Town,Cape Town,"-33.92293,18.420954",07/10/2013 00:00,07/10/2013 00:00
284,Limpopo - Ba-Phalaborwa,Gravelotte,"-23.950398,30.618743",07/10/2013 00:00,07/10/2013 00:00
286,Gauteng - City of Tshwane,Pretoria,"-25.414929,28.032845",07/10/2013 00:00,07/10/2013 00:00
293,Limpopo - Vhembe,Makhado,"-22.962622,30.468382",07/10/2013 00:00,07/10/2013 00:00
283,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.946141,25.508162",07/11/2013 00:00,07/11/2013 00:00
285,North West - Madibeng,Brits,"-25.633577,27.784189",07/12/2013 00:00,07/12/2013 00:00
302,North West - Tlokwe City Council,Potchefstroom,"-26.716257,27.098188",07/12/2013 00:00,07/12/2013 00:00
303,KwaZulu Natal - eThekwini,Durban,"-29.854904,30.960539",07/12/2013 00:00,07/12/2013 00:00
291,Gauteng - Ekurhuleni,East Rand,"-26.337843,28.140693",07/13/2013 12:00:00 AM,07/13/2013 12:00:00 AM
301,Gauteng - Ekurhuleni,Kempton Park,"-26.13515,28.22923",07/14/2013 12:00:00 AM,07/14/2013 12:00:00 AM
355,Western Cape - City of Cape Town,Cape Town,"-34.029317,18.664369",07/14/2013 12:00:00 AM,07/15/2013 12:00:00 AM
